user_id,stargazers_count,watchers_count,repo_id,language,forks_count,open_issues
1,8,8,26899533,CSS,4,0
1,95,95,17358646,JavaScript,14,3
1,6,6,29941343,CSS,6,0
1,205,205,330651,Ruby,58,11
1,98,98,444244,Erlang,43,5
1,164,164,204457,Ruby,23,0
1,6,6,6664329,JavaScript,3,0
1,3234,3234,144,Ruby,460,144
1,1,1,156953038,TypeScript,0,0
1,114,114,19398,Erlang,17,1
1,21,21,30322,Erlang,3,0
1,348,348,3010,Ruby,49,4
1,9,9,1602,Scheme,0,0
1,462,462,204419,Erlang,45,9
1,12,12,326535,Ruby,4,0
1,4,4,128616,Ruby,1,0
1,18,18,1015,Ruby,16,1
1,12,12,70276,C,5,0
1,6,6,58173,Ruby,0,0
1,35,35,61,Ruby,36,1
1,2209,2209,28,Ruby,529,121
1,75,75,818161,Perl,196,4
1,1968,1968,1,Ruby,521,44
2,17,17,1861402,JavaScript,7,0
2,115,115,3594,Ruby,35,4
2,165,165,36,Ruby,37,1
2,13,13,230,Ruby,22,0
2,15,15,12641,Ruby,4,1
2,7,7,4180,Ruby,5,0
2,10,10,15939,Ruby,2,0
2,257,257,93,Ruby,85,6
2,238,238,3591,Ruby,42,3
2,15,15,45193,Emacs Lisp,4,0
2,176,176,12527,Ruby,21,1
2,1047,1047,270226,Ruby,128,17
2,574,574,550681,Emacs Lisp,147,14
2,270,270,388149,Ruby,43,8
2,9,9,12220,Objective-C,4,0
2,5,5,18570642,JavaScript,1,0
2,78,78,91988,HTML,57,4
2,10,10,628288,JavaScript,3,0
2,12,12,2448060,Ruby,5,0
2,11,11,5171653,Ruby,2,0
2,3161,3161,1336779,Ruby,338,28
2,187,187,43903,Emacs Lisp,45,0
2,9,9,2998404,Ruby,4,0
2,50,50,1167457,CoffeeScript,16,0
2,242,242,35,Ruby,106,2
2,1929,1929,425,JavaScript,385,28
2,11,11,5211331,JavaScript,5,1
2,15,15,3596,Ruby,6,0
3,147,147,4061,Ruby,37,1
3,12,12,112071,Ruby,9,0
3,9,9,592,Ruby,10,2
3,4,4,5281804,Ruby,2,0
3,409,409,13163,Ruby,55,0
3,7,7,561202,Ruby,6,0
3,10,10,590,JavaScript,14,1
3,11,11,13727,Ruby,5,0
4,10,10,1119731,Ruby,5,1
4,3,3,911701,Ruby,2,0
4,3,3,3092609,Ruby,1,0
4,11,11,577073,Ruby,2,0
4,8,8,14129810,Ruby,2,0
4,13,13,137634194,Rust,1,5
4,214,214,578427,Ruby,14,11
4,36,36,842499,Ruby,5,3
4,1,1,43278408,CoffeeScript,1,0
4,1,1,86851893,TypeScript,0,0
4,32,32,14327,Ruby,5,0
4,22,22,191712,Ruby,1,0
4,3,3,13535854,Ruby,1,0
4,1,1,49158298,JavaScript,1,0
4,1,1,196286715,TypeScript,0,0
4,408,408,244703,Ruby,30,79
4,4,4,1912104,JavaScript,1,0
4,2,2,21256790,Rust,1,0
4,8,8,21112934,CSS,18,4
4,2,2,342411974,Rust,0,0
4,12,12,773625,Ruby,2,0
4,0,0,496771027,Shell,0,0
4,2,2,140189962,Rust,0,0
5,55,55,5282,Ruby,13,1
5,11,11,131,C,16,2
5,62,62,118801,Ruby,8,0
5,291,291,158501,Ruby,31,6
5,39,39,277593,Ruby,10,0
5,27,27,1104253,Ruby,4,0
