view_count,answer_count,question_count,reputation_change_quarter,reputation,link,display_name,user_id,bronze,silver,gold
197,103,1,0,576,https://stackoverflow.com/users/16613907/vsnikhilvs,vsnikhilvs,16613907,10,3,1
168,2,0,0,119,https://stackoverflow.com/users/15150/gowrikumar,GowriKumar,15150,3,0,0
0,0,0,0,1,https://stackoverflow.com/users/21067717/aio,Aio,21067717,1,0,0
94,3,1,0,241,https://stackoverflow.com/users/3245/eduardo-diaz,Eduardo Diaz,3245,6,3,1
27,0,5,0,99,https://stackoverflow.com/users/428149/user428149,user428149,428149,5,1,1
9,0,0,0,1,https://stackoverflow.com/users/782775/abu,Abu,782775,1,0,0
8,0,1,0,1,https://stackoverflow.com/users/888824/southernmedia,southernmedia,888824,1,0,0
30,0,6,0,141,https://stackoverflow.com/users/984225/androiddevs78,androiddevs78,984225,9,2,2
17767,792,13,60,52928,https://stackoverflow.com/users/1012097/kirti-thorat,Kirti Thorat,1012097,108,103,9
67,15,15,0,425,https://stackoverflow.com/users/1050685/bradley-weston,Bradley Weston,1050685,17,7,1
21,0,2,0,1,https://stackoverflow.com/users/1068918/dotnet-developer,dotnet developer,1068918,3,1,1
39,3,4,0,82,https://stackoverflow.com/users/1232919/lrobb,lrobb,1232919,10,0,0
27,1,6,0,101,https://stackoverflow.com/users/1250062/jbax,jbax,1250062,4,1,0
13,8,0,0,39,https://stackoverflow.com/users/1255669/gisman,gisman,1255669,5,0,0
68,23,5,10,602,https://stackoverflow.com/users/1279240/laxman-sahni,Laxman Sahni,1279240,8,7,1
563,207,7,-10,2993,https://stackoverflow.com/users/1441822/alex-mac,Alex Mac,1441822,39,23,1
186,50,6,0,659,https://stackoverflow.com/users/1445914/lemuel-botha,Lemuel Botha,1445914,24,8,0
29,1,3,0,31,https://stackoverflow.com/users/1463106/fahad-mirza,Fahad Mirza,1463106,8,0,0
14,0,1,0,1,https://stackoverflow.com/users/1487610/pushkar-ghatole,Pushkar Ghatole,1487610,1,0,0
46,0,19,0,125,https://stackoverflow.com/users/1494493/test-user,Test User,1494493,12,2,0
13,0,7,0,49,https://stackoverflow.com/users/1498665/jiva,Jiva,1498665,5,0,0
8,0,4,0,39,https://stackoverflow.com/users/1528199/icoder,iCoder,1528199,4,0,0
49,2,6,0,35,https://stackoverflow.com/users/1554158/asha-soman,Asha Soman,1554158,5,1,0
16,0,2,0,13,https://stackoverflow.com/users/1559349/saurabh-gupta,saurabh gupta,1559349,2,0,0
9,0,4,0,25,https://stackoverflow.com/users/1612508/user1612508,user1612508,1612508,6,1,0
45,0,4,0,33,https://stackoverflow.com/users/1626843/palanisamy-ramalingam,Palanisamy Ramalingam,1626843,10,0,0
8,0,0,0,1,https://stackoverflow.com/users/1651578/deven,Deven,1651578,0,0,0
54,3,17,0,315,https://stackoverflow.com/users/1707286/jesse-meyer,Jesse Meyer,1707286,13,3,1
2,0,0,0,1,https://stackoverflow.com/users/1717075/user1717075,user1717075,1717075,1,0,0
25,0,5,-10,3,https://stackoverflow.com/users/1728230/anoop-chandran,Anoop Chandran,1728230,6,0,0
132,17,8,-1,447,https://stackoverflow.com/users/1738413/a7md0,a7md0,1738413,20,10,2
12,0,0,0,1,https://stackoverflow.com/users/1836505/liulca,liulca,1836505,2,0,0
6,0,2,0,9,https://stackoverflow.com/users/1849037/user1849037,user1849037,1849037,2,0,0
321,112,42,-45,1834,https://stackoverflow.com/users/1869094/digitai,digitai,1869094,38,22,2
358,19,129,0,1121,https://stackoverflow.com/users/1969100/john-walker,John Walker,1969100,71,28,5
15,5,3,0,75,https://stackoverflow.com/users/1997912/liam15,Liam15,1997912,6,1,0
16,0,4,0,1,https://stackoverflow.com/users/2002174/hanjaya,hanjaya,2002174,4,1,0
106,20,4,0,101,https://stackoverflow.com/users/2010849/dot-net,DOT.NET,2010849,14,0,0
33,22,8,0,438,https://stackoverflow.com/users/2039768/wired,wired,2039768,12,4,0
21,0,1,0,11,https://stackoverflow.com/users/2089881/ananda-krishnan,Ananda Krishnan,2089881,5,0,0
60,3,8,0,37,https://stackoverflow.com/users/2135801/ebrahim-khalil,Ebrahim Khalil,2135801,13,1,1
12,3,9,0,51,https://stackoverflow.com/users/2195154/nikhilendra,Nikhilendra,2195154,11,3,0
18,5,4,0,45,https://stackoverflow.com/users/2260649/manoranjani-a,manoranjani.a,2260649,7,1,1
21,0,6,0,7,https://stackoverflow.com/users/2278856/anand-selvaraj,Anand Selvaraj,2278856,3,1,0
45,33,2,-2,480,https://stackoverflow.com/users/2294093/codrutz-codrutz,Codrutz Codrutz,2294093,15,5,0
18,3,5,0,1,https://stackoverflow.com/users/2444184/steven,Steven,2444184,4,0,0
10,0,3,0,11,https://stackoverflow.com/users/2459178/anand-shinde,Anand Shinde,2459178,2,0,0
3,0,0,0,1,https://stackoverflow.com/users/2468176/knb,knb,2468176,5,0,0
33,0,9,0,101,https://stackoverflow.com/users/2487886/dannyboy8899,Dannyboy8899,2487886,8,2,0
75,13,13,10,833,https://stackoverflow.com/users/2489649/matcas,MatCas,2489649,19,10,0
3,0,2,0,11,https://stackoverflow.com/users/2506489/user2506489,user2506489,2506489,1,1,0
3,0,1,0,1,https://stackoverflow.com/users/2510892/venkat,Venkat,2510892,3,0,0
5,0,0,0,1,https://stackoverflow.com/users/2541334/anuroop-nathaniel,anuroop nathaniel,2541334,1,0,0
2,1,0,0,1,https://stackoverflow.com/users/2626939/harold,Harold,2626939,0,0,0
